Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
7,5,7,Right-handed,On your right side,1
4,3,6.5,Right-handed,On your right side,2
8,12,7,Left-handed,On your right side,0
3,8,6,Right-handed,On your left side,2
8,7,7,Right-handed,On your back,0
10,20,5.5,Right-handed,On your left side,1
5,5,7,Right-handed,On your stomach,0
5,4,6,Right-handed,On your left side,3
5,2,7,Right-handed,On your left side,0
6,5,7,Right-handed,On your back,0
7,5,8,Right-handed,On your right side,0
6,0,6,Right-handed,On your left side,1
5,6,9,Right-handed,On your right side,2
2,5,8,Right-handed,On your stomach,0
7,14,8,Right-handed,On your right side,0
6,7,7,Right-handed,On your back,0
6,10,6,Right-handed,On your right side,2
5,2,8,Right-handed,On your left side,0
3,5,7,Right-handed,On your right side,4
6,4,9,Right-handed,On your right side,0
7,3,8,Right-handed,On your right side,0
6,10,8,Right-handed,On your back,0
5,4,6,Right-handed,On your back,3
8,3,6,Right-handed,On your back,0
8,4,7,Right-handed,On your left side,0
6,10,7,Right-handed,On your left side,2
4,9,7,Right-handed,On your left side,0
7,5,8,Left-handed,On your left side,0
4,4,8,Right-handed,On your right side,0
7,8,9,Right-handed,On your right side,0
8,12,6,Right-handed,On your right side,2
6,15,7,Right-handed,On your back,0
4,8,7,Right-handed,On your right side,0
7,15,7,Right-handed,On your back,4
4,7,8,Right-handed,On your right side,2
7,10,7,Right-handed,On your right side,0
7,15,6,Right-handed,On your right side,2
5,7,7,Right-handed,On your left side,0
5,5,7,Right-handed,On your left side,0
4,1,5,Right-handed,On your back,0
5,6,7,Right-handed,On your left side,6
7,5,8,Right-handed,On your back,2
4,5,7,Right-handed,On your back,2
4,5,7,Right-handed,On your right side,0
7,10,9,Right-handed,On your back,2
3,3,6,Right-handed,On your back,0
5,5,5,Right-handed,On your left side,4
6,1,7,Right-handed,On your back,0
5,3,8,Right-handed,On your back,0
1,5,8,Right-handed,On your right side,3
4,3,6,Right-handed,On your left side,4
7,5,6,Right-handed,On your left side,4
5,10,7,Right-handed,On your right side,0
7,9,7,Right-handed,On your back,0
7,5,7,Right-handed,On your right side,0
5,6,6,Right-handed,On your left side,1
5,4,7,Right-handed,On your back,0
7,3,7,Right-handed,On your back,0
4,3,8,Right-handed,On your back,0
8,10,5,Right-handed,On your back,2
8,10,8,Right-handed,On your left side,0
7,2,8,Right-handed,On your left side,0
8,20,7,Right-handed,On your right side,0
4,3,5.5,Right-handed,On your back,0
5,4,7,Right-handed,On your back,0
3,5,7,Right-handed,On your stomach,2
5,1,7,Right-handed,On your right side,0
8,2,7,Right-handed,On your back,2
8,6,7,Right-handed,On your left side,0
3,15,8,Right-handed,On your stomach,0
7,9,7,Right-handed,On your left side,2
5,12,8,Right-handed,On your right side,0
4,7,6,Right-handed,On your right side,2
4,5,7,Right-handed,On your back,0
7,10,6,Right-handed,On your back,0
6,4,9,Right-handed,On your back,2
9,20,7,Right-handed,On your left side,4
7,8,7,Right-handed,On your back,2
7,7,8,Right-handed,On your back,0
7,10,6.5,Right-handed,On your left side,0
6,15,6,Right-handed,On your right side,0
9,10,8,Right-handed,On your left side,2
6,5,6,Right-handed,On your right side,0
10,4,8,Right-handed,On your right side,0
3,5,7,Right-handed,On your stomach,0
5,15,6,Right-handed,On your back,1
4,4,6,Right-handed,On your right side,0
8,7,7.5,Right-handed,On your left side,0
7,3,7,Right-handed,On your stomach,7
5,15,7,Right-handed,On your back,0
6,5,6,Right-handed,On your back,2
7,15,7,Right-handed,On your right side,0
3,3,6,Right-handed,On your left side,0
6,8,6,Right-handed,On your stomach,8
6,3,6,Right-handed,On your left side,2
8,20,6,Right-handed,On your back,7
3,5,7,Right-handed,On your left side,0
7,8,6,Right-handed,On your left side,0
4,4,6,Right-handed,On your back,0
6,6,7,Right-handed,On your left side,0
4,5,6,Right-handed,On your left side,2
8,10,7,Right-handed,On your right side,0
10,10,10,Right-handed,On your back,2
5,2,7,Right-handed,On your right side,0
8,14,8,Right-handed,On your back,0
3,3,6,Left-handed,On your back,0
8,10,8,Left-handed,On your right side,2
4,9,8,Right-handed,On your right side,0
8,7,6,Right-handed,On your right side,2
3,0,7,Right-handed,On your back,2
4,5,8,Right-handed,On your stomach,0
7,25,8,Right-handed,On your back,0
4,4,6,Ambidextrous,On your right side,3
6,5,8,Right-handed,On your back,0
8,5,6,Right-handed,On your right side,0
7,5,7,Right-handed,On your left side,0
9,8,9,Left-handed,On your right side,0
3,8,6.5,Right-handed,On your right side,1
4,2,8,Left-handed,On your left side,0
5,6,8,Right-handed,On your stomach,6
7,8,7,Right-handed,On your right side,11
4,10,8,Right-handed,On your left side,0
6,5,7,Right-handed,On your back,0
3,10,8,Right-handed,On your back,0
3,3,7,Right-handed,On your stomach,4
7,20,6,Right-handed,On your stomach,0
7,8,7,Left-handed,On your left side,1
7,10,7.5,Right-handed,On your right side,0
5,10,6,Right-handed,On your right side,0
4,10,7,Right-handed,On your back,0
5,10,6,Right-handed,On your right side,6
8,5,8,Right-handed,On your back,0
8,4,7,Right-handed,On your right side,2
6,3,7,Right-handed,On your stomach,0
3,10,7,Right-handed,On your back,0
7,4,7,Right-handed,On your right side,4
4,4,7,Right-handed,On your stomach,2
9,20,7,Right-handed,On your right side,0
10,10,6,Right-handed,On your left side,2
6,3,8,Right-handed,On your right side,0
3,7,7,Right-handed,On your left side,0
3,3,6,Right-handed,On your left side,0
8,10,7,Right-handed,On your left side,0
7,4,8,Right-handed,On your back,0
4,3,8,Right-handed,On your right side,0
8,7,7.5,Right-handed,On your back,0
7,5,7,Right-handed,On your left side,0
4,3,7,Right-handed,On your stomach,2
2,3,9,Right-handed,On your back,0
6,4,7,Right-handed,On your left side,0
5,11,8,Right-handed,On your right side,0
8,5,8,Left-handed,On your right side,0
4,7,8,Right-handed,On your right side,0
7,6,8.5,Right-handed,On your right side,0
3,6,7,Right-handed,On your back,2
5,9,8,Right-handed,On your stomach,4
5,10,8,Right-handed,On your stomach,0
6,3,6,Right-handed,On your left side,0
3,4,8,Right-handed,On your right side,0
6,5,8,Right-handed,On your right side,0
7,10,6,Right-handed,On your left side,2
5,8,8,Right-handed,On your back,0
8,7,7,Right-handed,On your right side,2
7,6,8,Right-handed,On your stomach,9
4,10,6,Right-handed,On your left side,5
1,2,6.5,Right-handed,On your stomach,0
5,4,8,Right-handed,On your right side,0
5,15,6,Right-handed,On your left side,2
5,4,7,Right-handed,On your back,4
6,6,7,Right-handed,On your back,0
6,8,9,Right-handed,On your back,0
3,5,8,Right-handed,On your stomach,0
7,5,7,Right-handed,On your left side,2
5,6,8,Right-handed,On your right side,0
6,12,6.5,Right-handed,On your left side,2
7,7,7,Left-handed,On your back,4
7,5,7,Right-handed,On your back,2
8,7,7.5,Right-handed,On your back,0
5,5,7,Right-handed,On your back,2
7,5,7,Right-handed,On your right side,0
9,20,7,Right-handed,On your left side,5
4,5,7,Right-handed,On your back,0
8,15,6,Right-handed,On your back,2
5,7,6,Right-handed,On your back,2
3,3,8,Right-handed,On your stomach,0
7,8,7,Right-handed,On your left side,2
3,10,6,Right-handed,On your left side,10
8,7,6,Right-handed,On your back,2
3,7,8,Right-handed,On your left side,0
5,10,7,Right-handed,On your left side,0
7,8,8,Right-handed,On your right side,0
7,6,8,Right-handed,On your right side,4
5,3,7,Left-handed,On your right side,6
6,15,7,Right-handed,On your stomach,4
7,7,7,Right-handed,On your right side,0
7,10,7,Left-handed,On your stomach,2
7,6,7,Right-handed,On your left side,2
7,7,7,Ambidextrous,On your back,0
7,6,7.5,Right-handed,On your back,0
6,9,8,Right-handed,On your left side,0
9,3,8,Left-handed,On your right side,0
8,5,7.5,Right-handed,On your back,1
7,6,8,Right-handed,On your right side,1
5,10,7,Right-handed,On your back,2
8,15,7,Right-handed,On your back,0
3,3,7,Right-handed,On your back,0
4,4,6,Right-handed,On your right side,0
7,15,7,Right-handed,On your right side,0
6,6,8,Right-handed,On your back,0
9,10,8,Right-handed,On your stomach,0
8,5,7,Right-handed,On your back,0
7,5,9,Right-handed,On your left side,1
7,5,9,Right-handed,On your back,2
9,20,6,Right-handed,On your right side,7
5,10,6,Right-handed,On your stomach,0
4,3,7,Right-handed,On your left side,4
5,2,7,Left-handed,On your left side,0
6,6,8,Right-handed,On your right side,0
7,7,8,Right-handed,On your back,2
8,15,7.5,Right-handed,On your left side,0
3,3,7,Right-handed,On your right side,5
5,4,4,Right-handed,On your back,0
6,10,8,Right-handed,On your back,0
4,5,7,Right-handed,On your right side,0
4,3,7,Left-handed,On your stomach,12
7,3,7,Right-handed,On your right side,2
8,3,8,Right-handed,On your right side,0
6,3,7,Right-handed,On your stomach,0
8,6,7,Right-handed,On your right side,2
1,4,6,Right-handed,On your right side,0
7,7,8,Right-handed,On your right side,1
5,20,8,Right-handed,On your back,0
6,3,6,Right-handed,On your back,0
3,3,7,Right-handed,On your back,6
5,3,8,Right-handed,On your back,2
7,8,8,Left-handed,On your back,0
4,10,7,Right-handed,On your left side,0
6,5,7,Right-handed,On your back,2
5,6,7,Right-handed,On your back,0
6,20,7,Right-handed,On your back,0
7,60,4,Left-handed,On your back,0
8,10,8,Right-handed,On your back,0
6,5,8,Right-handed,On your right side,0
3,5,7,Right-handed,On your left side,0
5,20,6,Right-handed,On your right side,0
4,2,7,Right-handed,On your right side,1
6,7,7,Left-handed,On your left side,0
5,2,8,Right-handed,On your left side,2
7,5,8,Right-handed,On your right side,2
8,7,8,Right-handed,On your right side,0
7,7,7,Right-handed,On your right side,0
6,8,8,Right-handed,On your right side,1
4,3,8,Right-handed,On your back,0
4,5,8,Right-handed,On your stomach,0
4,5,7,Right-handed,On your right side,2
7,5,8,Right-handed,On your left side,2
7,15,7,Left-handed,On your right side,0
3,2,7,Right-handed,On your back,0
5,6,8,Right-handed,On your back,0
7,3,7,Left-handed,On your back,0
8,15,7,Right-handed,On your stomach,0
6,4,7.5,Right-handed,On your right side,0
6,6,7.5,Right-handed,On your back,0
8,5,8,Right-handed,On your back,2
7,4,6,Right-handed,On your left side,0
7,6,6.5,Right-handed,On your right side,7
4,8,6,Right-handed,On your back,0
4,3,7,Right-handed,On your back,0
8,10,9,Right-handed,On your right side,0
4,5,7,Right-handed,On your left side,0
6,3,6,Right-handed,On your back,2
6,6,6,Right-handed,On your back,0
4,10,8,Right-handed,On your left side,0
5,5,8,Right-handed,On your right side,0
6,4,8,Right-handed,On your back,4
7,6,6.5,Right-handed,On your left side,0
7,6,5,Right-handed,On your back,0
8,5,7,Right-handed,On your back,2
4,5,7.5,Right-handed,On your left side,0
1,4,6,Left-handed,On your left side,0
5,8,7,Right-handed,On your right side,0
5,4,7,Right-handed,On your right side,0
5,15,7,Right-handed,On your right side,0
4,5,8,Left-handed,On your right side,8
7,10,6,Right-handed,On your back,0
5,4,6,Right-handed,On your right side,2
6,8,4,Right-handed,On your right side,0
4,3,8,Right-handed,On your right side,4
6,5,8,Right-handed,On your back,0
3,2,6,Right-handed,On your right side,1
7,3,11,Right-handed,On your right side,2
6,4,6,Right-handed,On your back,3
7,10,8,Right-handed,On your right side,0
3,1,8,Right-handed,On your left side,2
4,5,6,Right-handed,On your left side,0
3,5,7,Right-handed,On your left side,0
1,5,7,Right-handed,On your right side,0
6,6,7,Right-handed,On your stomach,0
6,6,8,Right-handed,On your right side,2
9,30,6.5,Right-handed,On your back,1
7,10,8,Right-handed,On your back,0
3,4,7,Right-handed,On your back,0
8,10,6,Right-handed,On your back,0
8,4,8,Right-handed,On your stomach,0
4,5,7,Right-handed,On your right side,0
8,6,8,Right-handed,On your back,3
9,7,5,Right-handed,On your right side,2
8,8,7,Right-handed,On your right side,1
6,3,7,Right-handed,On your back,2
8,10,8,Right-handed,On your back,2
7,10,7,Right-handed,On your right side,0
6,5,8,Right-handed,On your left side,0
5,5,7,Right-handed,On your right side,0
4,25,7,Right-handed,On your stomach,0
9,8,7,Right-handed,On your right side,0
7,3,7,Right-handed,On your back,0
6,9,7,Right-handed,On your left side,1
3,8,7,Right-handed,On your left side,0
4,6,8,Right-handed,On your stomach,0
7,7,8,Right-handed,On your back,2
6,8,7,Left-handed,On your left side,0
5,10,7,Right-handed,On your back,1
3,5,7,Right-handed,On your left side,9
7,4,6,Right-handed,On your stomach,1
5,5,7,Left-handed,On your left side,2
7,5,8,Right-handed,On your right side,2
4,5,5,Left-handed,On your back,0
6,15,6,Right-handed,On your back,1
7,5,6,Right-handed,On your right side,10
5,20,7,Right-handed,On your left side,2
4,20,6,Left-handed,On your back,5
5,4,7,Right-handed,On your left side,2
7,5,8,Right-handed,On your back,0
3,10,7.5,Right-handed,On your back,0
5,7,7,Right-handed,On your back,0
4,4,7,Right-handed,On your back,1
5,8,7,Right-handed,On your back,1
7,5,6,Right-handed,On your back,0
4,10,7,Left-handed,On your back,2
8,6,7,Right-handed,On your back,0
7,10,9,Right-handed,On your right side,0
7,5,8,Ambidextrous,On your back,0
3,3,8,Left-handed,On your right side,0
7,5,7,Right-handed,On your left side,2
5,12,7,Right-handed,On your left side,6
6,10,7,Right-handed,On your back,0
3,5,7,Right-handed,On your right side,3
5,6,8,Right-handed,On your left side,1
8,5,8,Right-handed,On your back,2
7,8,6,Right-handed,On your back,2
6,4,7,Right-handed,On your stomach,0
6,4,7,Right-handed,On your right side,2
8,7,7,Right-handed,On your right side,0
4,7,7,Right-handed,On your left side,0
3,3,5,Right-handed,On your left side,9
5,20,7,Right-handed,On your stomach,2
6,8,8,Right-handed,On your left side,0
6,5,6,Right-handed,On your stomach,0
8,15,7.5,Right-handed,On your right side,0
3,1,6,Right-handed,On your stomach,2
7,10,7,Right-handed,On your left side,2
4,3,6,Right-handed,On your left side,3
4,3,8,Right-handed,On your right side,0
7,5,8,Right-handed,On your right side,2
4,10,7,Right-handed,On your back,0
5,6,7,Right-handed,On your right side,2
8,8,8,Right-handed,On your right side,1
8,5,7,Right-handed,On your right side,0
7,7,8,Right-handed,On your back,0
1,5,8,Right-handed,On your left side,14
6,10,8,Right-handed,On your back,0
5,2,8,Right-handed,On your left side,4
8,15,8,Right-handed,On your left side,2
7,8,8,Right-handed,On your right side,0
7,3,5,Left-handed,On your back,0
7,5,6,Right-handed,On your stomach,0
7,6,7,Right-handed,On your right side,0
6,6,7,Right-handed,On your back,0
6,4,6,Right-handed,On your right side,2
7,5,7,Right-handed,On your back,1
7,5,8,Right-handed,On your left side,2
5,5,6.5,Right-handed,On your right side,0
3,5,7,Right-handed,On your left side,2
4,5,8,Right-handed,On your left side,14
4,10,8,Right-handed,On your back,0
5,3,8,Right-handed,On your left side,6
3,3,8,Right-handed,On your back,0
8,8,6,Right-handed,On your left side,2
10,7,8,Right-handed,On your right side,0
7,10,7,Right-handed,On your left side,4
4,5,6,Right-handed,On your back,0
3,7,7,Right-handed,On your back,0
5,8,7,Right-handed,On your back,0
4,8,7,Right-handed,On your right side,2
7,5,7,Right-handed,On your right side,0
8,5,7,Right-handed,On your back,2
4,2,7.5,Right-handed,On your back,0
7,5,8,Left-handed,On your back,1
5,5,7,Right-handed,On your left side,4
5,7,8,Right-handed,On your left side,0
7,10,7,Right-handed,On your back,2
5,5,7,Right-handed,On your right side,1
6,10,9,Right-handed,On your back,0
3,10,6,Right-handed,On your stomach,0
5,7,7,Ambidextrous,On your right side,0
6,10,7.5,Right-handed,On your back,0
1,5,6,Right-handed,On your back,0
9,14,7,Right-handed,On your back,0
8,10,7,Right-handed,On your right side,2
3,3,5,Right-handed,On your right side,0
3,7,7,Right-handed,On your back,0
4,5,6,Right-handed,On your left side,0
5,5,8,Right-handed,On your left side,2
6,5,8,Right-handed,On your stomach,0
5,3,8,Right-handed,On your back,2
7,10,6,Right-handed,On your left side,1
7,16,5,Left-handed,On your back,2
10,15,4,Left-handed,On your right side,0
8,5,6,Right-handed,On your left side,0
8,6,7,Right-handed,On your back,2
8,2,7,Right-handed,On your back,0
7,8,7,Right-handed,On your left side,0
4,3,5,Right-handed,On your back,0
5,5,7,Right-handed,On your right side,0
8,10,6,Right-handed,On your left side,0
5,10,6,Right-handed,On your right side,0
9,10,7,Right-handed,On your back,0
6,3,7.5,Right-handed,On your right side,0
4,6,7,Right-handed,On your right side,2
8,14,7,Right-handed,On your right side,0
7,4,8,Right-handed,On your left side,0
3,4,7,Right-handed,On your right side,0
7,8,8,Right-handed,On your stomach,0
6,4,7,Left-handed,On your left side,2
9,10,6,Right-handed,On your left side,0
4,4,8,Left-handed,On your left side,0
6,10,6,Right-handed,On your stomach,2
7,3,7,Right-handed,On your back,0
10,30,6,Right-handed,On your left side,4
8,8,7,Right-handed,On your left side,0
3,6,7,Right-handed,On your back,0
3,3,7,Right-handed,On your stomach,0
3,3,7,Right-handed,On your back,0
5,10,6,Right-handed,On your stomach,1
6,7,9,Right-handed,On your back,6
4,4,7,Right-handed,On your left side,0
5,5,6,Right-handed,On your stomach,3
6,2,8,Right-handed,On your right side,0
8,8,6,Right-handed,On your right side,0
3,3,9,Right-handed,On your right side,3
4,10,7,Right-handed,On your back,0
5,5,7,Right-handed,On your back,0
1,12,8,I can write with both hands and feet,On your back,0
4,4,8,Right-handed,On your left side,2
4,5,7,Right-handed,On your back,0
3,3,6.5,Right-handed,On your left side,3
6,4,8,Right-handed,On your left side,2
5,5,8,Right-handed,On your right side,0
7,5,7,Right-handed,On your back,3
3,0,6,Right-handed,On your back,0
5,4,7,Right-handed,On your back,0
8,12,7,Right-handed,On your stomach,1
7,7,8,Left-handed,On your stomach,1
6,2,7,Right-handed,On your right side,2
7,5,8,Right-handed,On your right side,0
6,3,7,Right-handed,On your left side,0
4,5,6,Right-handed,On your back,0
6,4,6.5,Right-handed,On your back,0
1,1,8,Left-handed,On your right side,2
7,5,7,Right-handed,On your right side,0
5,10,9,Right-handed,On your left side,0
2,1,6,Right-handed,On your right side,0
8,15,7,Right-handed,On your left side,5
7,8,8,Right-handed,On your stomach,0
4,5,8,Right-handed,On your left side,2
5,6,7,Right-handed,On your right side,1
4,7,7,Right-handed,On your right side,4
4,12,6,Right-handed,On your back,2
4,10,6,Right-handed,On your right side,0
6,4,8,Right-handed,On your left side,0
5,10,8,Right-handed,On your back,0
4,7,8,Right-handed,On your right side,2
5,10,7,Right-handed,On your back,0
3,7,5,Right-handed,On your back,3
7,30,6,Right-handed,On your back,0
5,3,7,Right-handed,On your back,0
5,9,7,Right-handed,On your left side,2
5,15,7,Right-handed,On your right side,0
3,8,7,Right-handed,On your back,0
2,3,9,Right-handed,On your back,0
5,3,7,Right-handed,On your back,1
6,15,7,Left-handed,On your left side,2
6,3,6,Right-handed,On your right side,0
6,10,8,Right-handed,On your stomach,4
3,2,7,Right-handed,On your right side,2
2,2,8,Right-handed,On your right side,2
6,3,7,Right-handed,On your left side,0
9,12,7,Right-handed,On your stomach,0
7,10,8,Right-handed,On your stomach,0
4,10,7,Left-handed,On your right side,2
8,10,6,Right-handed,On your right side,0
9,10,7,Right-handed,On your right side,0
9,10,7,Right-handed,On your back,2
3,10,8,Right-handed,On your left side,0
8,3,8,Right-handed,On your right side,8
3,7,8,Right-handed,On your back,0
4,4,8,Right-handed,On your left side,0
6,8,8,Right-handed,On your right side,5
4,5,7,Right-handed,On your back,0
8,5,7,Right-handed,On your left side,0
6,10,7,Right-handed,On your back,1
7,17,7,Left-handed,On your stomach,0
7,6,6,Right-handed,On your stomach,2
8,10,6,Right-handed,On your back,0
8,15,7,Right-handed,On your back,0
7,4,7,Right-handed,On your back,0
5,6,5,Right-handed,On your left side,2
4,3,7,Right-handed,On your right side,2
5,3,7,Right-handed,On your right side,5
7,5,8,Right-handed,On your right side,0
4,3,8,Right-handed,On your left side,0
7,8,9,Right-handed,On your back,1
8,12,8,Right-handed,On your stomach,2
7,10,6,Right-handed,On your back,2
4,2,8,Right-handed,On your left side,3
5,5,6,Left-handed,On your stomach,0
6,1,7,Left-handed,On your stomach,0
3,7,9,Right-handed,On your stomach,1
7,7,7,Right-handed,On your back,0
4,5,8,Right-handed,On your back,0
6,3,7,Right-handed,On your right side,0
9,20,6,Right-handed,On your back,5
5,10,7,Right-handed,On your back,0
7,7,7,Right-handed,On your left side,1
6,3,7,Right-handed,On your right side,0
7,10,5.5,Right-handed,On your stomach,1
7,5,7,Right-handed,On your left side,2
5,6,7,Right-handed,On your back,0
7,10,7,Right-handed,On your right side,3
5,5,7,Right-handed,On your back,2
8,4,6,Right-handed,On your right side,2
3,5,9,Right-handed,On your back,0
6,20,7,Left-handed,On your stomach,2
9,15,8,Right-handed,On your stomach,2
7,5,7,Right-handed,On your back,0
4,6,7,Right-handed,On your right side,2
10,10,7,Left-handed,On your left side,0
7,5,8,Right-handed,On your back,3
9,10,5,Right-handed,On your back,0
7,4,7,Right-handed,On your right side,2
8,15,8,Right-handed,On your left side,0
5,10,6,Right-handed,On your right side,2
6,0,5,Right-handed,On your left side,0
3,10,7,Right-handed,On your left side,1
8,10,7,Right-handed,On your right side,0
7,7,10,Right-handed,On your right side,4
5,5,8,Right-handed,On your left side,0
6,6,8,Right-handed,On your left side,10
8,5,6,Right-handed,On your left side,6
3,2,8,Right-handed,On your back,2
8,3,7,Right-handed,On your back,7
6,5,8,Right-handed,On your stomach,2
1,3,7,Right-handed,On your left side,0
7,3,8,Right-handed,On your right side,0
3,4,7,Right-handed,On your back,2
4,10,10,Right-handed,On your left side,0
